workclass,marital-status,occupation,race,sex,user_id,age,salary,education_rank,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year,great_customer_class
self_employed,Married,sales,caucasian,Male,1019397.0,52.0,52684.0,13.0,0.0,0.0,60.0,217.27654431512983,28.0,0.0
private,Never-married,sales,caucasian,Female,1041833.0,23.0,38035.0,9.0,0.0,0.0,40.0,318.0,358.0,0.0
private,Married,craft,caucasian,Male,1017634.0,39.0,47790.25,10.0,0.0,0.0,40.0,36.0,364.0,0.0
government,Never-married,clerical,not_caucasian,Female,1028502.0,33.0,22228.25,10.0,0.0,0.0,40.0,191.0,92.0,0.0
private,Married,executive,caucasian,Female,1031958.0,48.0,32703.0,9.0,447.9206072106262,0.0,40.0,217.27654431512983,141.0,0.0
private,Married,factory,caucasian,Male,1003164.0,29.0,46271.0,10.0,0.0,0.0,55.0,217.27654431512983,359.7081694672864,0.0
self_employed,Married,factory,caucasian,Female,1025728.0,44.0,52069.25,9.0,0.0,0.0,45.0,26.0,83.0,0.0
private,Never-married,service,caucasian,Female,1008335.0,27.0,28466.5,9.0,0.0,0.0,30.0,267.0,177.0,0.0
self_employed,Never-married,tech,caucasian,Female,1018635.0,22.0,54355.25,10.0,0.0,0.0,30.0,217.27654431512983,184.0,0.0
government,Divorced,service,caucasian,Female,1046536.0,57.0,27253.75,8.0,0.0,0.0,40.0,182.0,181.0,0.0
private,Never-married,tech,caucasian,Male,1039653.0,22.0,21347.25,9.0,0.0,0.0,40.0,404.0,189.0,0.0
private,Married,professional,caucasian,Male,1004785.0,37.0,51766.5,14.0,0.0,0.0,70.0,241.0,158.0,0.0
private,Never-married,service,caucasian,Female,1041053.0,36.0,51563.25,10.0,0.0,1617.0,40.0,291.0,20.0,0.0
self_employed,Married,tech,caucasian,Male,1029774.0,54.0,48260.75,9.0,0.0,0.0,40.0,217.27654431512983,359.7081694672864,0.0
private,Never-married,service,caucasian,Male,1010225.0,21.0,32851.0,9.0,0.0,0.0,25.0,74.0,236.0,0.0
private,Divorced,sales,caucasian,Female,1021911.0,46.0,36729.75,9.0,0.0,0.0,40.0,217.27654431512983,182.0,0.0
private,Never-married,sales,caucasian,Male,1032613.0,28.0,83508.0,11.0,0.0,0.0,50.0,315.0,123.0,0.0
private,Never-married,service,caucasian,Male,1002039.0,14.0,68557.0,9.0,0.0,0.0,65.0,342.0,359.7081694672864,0.0
private,Never-married,factory,caucasian,Male,1046815.0,33.0,21827.5,5.0,0.0,0.0,50.0,217.27654431512983,246.0,0.0
government,Married,clerical,not_caucasian,Male,1007216.0,53.0,83604.5,2.0,0.0,0.0,40.0,158.0,359.7081694672864,0.0
private,Divorced,cleaner,caucasian,Male,1033157.0,27.0,61263.25,10.0,0.0,1504.0,40.0,217.27654431512983,359.7081694672864,0.0
private,Never-married,cleaner,caucasian,Male,1007778.0,14.0,37149.29735524019,10.0,0.0,0.0,45.0,342.0,359.7081694672864,0.0
private,Married,sales,not_caucasian,Male,1031154.0,33.0,37149.29735524019,12.0,0.0,0.0,60.0,77.0,359.7081694672864,0.0
private,Married,executive,caucasian,Female,1018036.0,25.0,42330.75,13.0,0.0,0.0,40.0,217.27654431512983,221.0,0.0
private,Divorced,cleaner,caucasian,Male,1028753.0,24.0,50400.75,9.0,0.0,46.03422370617696,30.0,208.0,241.0,0.0
self_employed,Married,craft,caucasian,Male,1017932.0,36.0,34007.0,5.0,0.0,0.0,30.0,32.0,383.0,0.0
self_employed,Never-married,tech,not_caucasian,Female,1011561.0,14.0,65903.0,9.0,0.0,0.0,40.0,200.0,359.7081694672864,0.0
self_employed,Married,clerical,caucasian,Male,1041437.0,40.0,41277.0,13.0,0.0,0.0,40.0,41.0,8.0,0.0
private,Never-married,sales,caucasian,Female,1043293.0,21.0,68797.5,10.0,0.0,0.0,20.0,338.0,204.0,0.0
private,Never-married,sales,caucasian,Female,1023695.0,19.0,46539.75,10.0,0.0,0.0,40.0,408.0,102.0,0.0
private,Never-married,clerical,caucasian,Female,1027517.0,31.0,24120.0,9.0,0.0,0.0,50.0,401.0,79.0,0.0
private,Never-married,executive,caucasian,Male,1046471.0,25.0,82848.75,10.0,0.0,0.0,50.0,167.0,359.7081694672864,0.0
self_employed,Never-married,tech,caucasian,Male,1000516.0,20.0,9613.75,9.0,0.0,0.0,40.0,217.27654431512983,495.0,0.0
private,Divorced,tech,caucasian,Male,1024078.0,43.0,52153.25,13.0,0.0,0.0,40.0,217.27654431512983,251.0,0.0
private,Married,factory,not_caucasian,Male,1033909.0,52.0,34414.5,7.0,0.0,0.0,40.0,482.0,355.0,0.0
private,Never-married,factory,caucasian,Male,1034030.0,14.0,27592.75,8.0,0.0,0.0,40.0,230.0,359.7081694672864,0.0
self_employed,Married,craft,caucasian,Male,1035951.0,43.0,27203.75,9.0,0.0,0.0,60.0,83.0,359.7081694672864,0.0
private,Married,craft,caucasian,Male,1035631.0,38.0,45819.75,10.0,0.0,0.0,43.0,60.0,391.0,0.0
government,Married,executive,caucasian,Male,1017620.0,44.8420094096221,8545.0,10.0,0.0,0.0,40.0,62.0,331.0,0.0
government,Never-married,professional,caucasian,Female,1048223.0,25.0,48080.25,13.0,0.0,0.0,40.0,217.27654431512983,115.0,0.0
self_employed,Married,factory,caucasian,Male,1024926.0,34.0,72432.75,7.0,0.0,0.0,40.0,6.0,105.0,0.0
private,Married,service,caucasian,Female,1008092.0,32.0,12787.5,8.0,0.0,0.0,40.0,217.27654431512983,341.0,0.0
self_employed,Married,craft,caucasian,Male,1001490.0,44.0,34617.75,10.0,0.0,0.0,50.0,236.0,358.0,0.0
private,Married,tech,caucasian,Male,1016474.0,47.0,30234.75,10.0,0.0,0.0,45.0,121.0,172.0,0.0
private,Never-married,sales,caucasian,Female,1016486.0,44.8420094096221,35041.0,7.0,0.0,0.0,40.0,82.0,91.0,0.0
government,Never-married,professional,caucasian,Female,1008829.0,35.0,23863.75,13.0,0.0,0.0,55.0,419.0,232.0,0.0
private,Never-married,cleaner,caucasian,Female,1048003.0,58.0,48201.5,4.0,0.0,0.0,33.0,220.0,231.0,0.0
government,Married,lawenf,caucasian,Male,1042970.0,30.0,24796.25,12.0,0.0,0.0,40.0,217.27654431512983,359.7081694672864,0.0
private,Never-married,clerical,caucasian,Female,1022810.0,22.0,32121.75,9.0,0.0,0.0,10.0,40.0,245.0,0.0
private,Married,executive,caucasian,Male,1002819.0,14.0,40921.75,10.0,0.0,0.0,50.0,198.0,359.7081694672864,0.0
private,Divorced,cleaner,caucasian,Male,1044422.0,41.0,30656.5,9.0,0.0,0.0,48.0,196.0,323.0,0.0
private,Married,craft,caucasian,Male,1009967.0,26.0,41354.5,12.0,0.0,0.0,40.0,398.0,444.0,0.0
private,Never-married,factory,not_caucasian,Male,1000963.0,24.0,38283.25,8.0,0.0,0.0,40.0,379.0,396.0,0.0
government,Widowed,clerical,caucasian,Female,1031383.0,76.0,42283.25,10.0,0.0,0.0,30.0,58.0,213.0,0.0
self_employed,Married,craft,caucasian,Male,1042117.0,48.0,44834.25,9.0,0.0,0.0,60.0,55.0,205.0,0.0
government,Married,farm,caucasian,Male,1043351.0,34.0,52132.0,12.0,0.0,0.0,30.0,7.0,359.7081694672864,0.0
private,Married,cleaner,caucasian,Male,1006093.0,45.0,30920.25,9.0,0.0,0.0,40.0,327.0,92.0,0.0
government,Never-married,professional,caucasian,Female,1016859.0,58.0,70908.75,13.0,0.0,0.0,40.0,29.0,340.0,0.0
government,Divorced,clerical,caucasian,Female,1021476.0,33.0,28900.75,10.0,0.0,0.0,40.0,123.0,359.7081694672864,0.0
government,Never-married,executive,caucasian,Male,1010438.0,18.0,73651.25,10.0,0.0,0.0,12.0,61.0,337.0,0.0
private,Married,executive,caucasian,Male,1004725.0,44.8420094096221,32531.5,10.0,0.0,0.0,40.0,217.27654431512983,134.0,0.0
private,Divorced,clerical,caucasian,Female,1037744.0,47.0,59546.25,13.0,0.0,0.0,40.0,217.27654431512983,321.0,0.0
private,Never-married,clerical,caucasian,Female,1001299.0,54.0,48753.75,9.0,0.0,46.03422370617696,40.0,99.0,246.0,0.0
private,Divorced,sales,caucasian,Female,1001461.0,17.0,21670.25,10.0,0.0,0.0,40.0,196.0,359.7081694672864,0.0
private,Divorced,craft,not_caucasian,Female,1027422.0,45.0,27214.75,9.0,0.0,46.03422370617696,40.0,354.0,159.0,0.0
private,Never-married,clerical,caucasian,Female,1035385.0,14.0,50825.25,9.0,0.0,0.0,40.0,466.0,359.7081694672864,0.0
government,Married,lawenf,caucasian,Male,1021133.0,33.0,37149.29735524019,10.0,0.0,0.0,40.0,151.0,359.7081694672864,0.0
government,Divorced,professional,caucasian,Female,1044962.0,54.0,13594.25,14.0,0.0,0.0,40.0,242.0,112.0,0.0
self_employed,Married,tech,caucasian,Male,1029272.0,76.0,19861.25,6.0,1173.0,0.0,40.0,217.27654431512983,245.0,0.0
self_employed,Married,sales,caucasian,Male,1016397.0,56.0,75772.5,10.0,0.0,0.0,50.0,330.0,307.0,0.0
private,Never-married,sales,caucasian,Male,1012654.0,18.0,37668.75,6.0,0.0,0.0,40.0,407.0,272.0,0.0
private,Never-married,service,caucasian,Male,1008707.0,41.0,8281.5,11.0,0.0,0.0,45.0,217.27654431512983,268.0,0.0
private,Never-married,sales,caucasian,Male,1013412.0,26.0,47950.75,13.0,0.0,46.03422370617696,40.0,264.0,116.0,0.0
private,Married,craft,caucasian,Male,1003583.0,41.0,38823.25,11.0,447.9206072106262,0.0,45.0,217.27654431512983,78.0,0.0
private,Married,professional,caucasian,Male,1042823.0,39.0,45426.25,9.0,0.0,46.03422370617696,45.0,217.27654431512983,89.0,0.0
private,Never-married,cleaner,caucasian,Male,1025283.0,25.0,46913.25,9.0,0.0,0.0,48.0,233.0,226.0,0.0
government,Married,craft,caucasian,Male,1035355.0,28.0,74134.25,9.0,0.0,0.0,45.0,310.0,317.0,0.0
self_employed,Never-married,service,caucasian,Female,1030538.0,16.0,50284.5,11.0,0.0,0.0,35.0,217.27654431512983,359.7081694672864,0.0
self_employed,Divorced,craft,caucasian,Male,1047434.0,43.0,46957.5,11.0,0.0,0.0,40.0,122.0,359.7081694672864,0.0
government,Never-married,professional,caucasian,Female,1047590.0,43.0,11954.5,13.0,0.0,0.0,40.0,202.0,31.0,0.0
private,Married,factory,caucasian,Male,1030700.0,31.0,61861.0,11.0,0.0,0.0,40.0,188.0,68.0,0.0
private,Divorced,tech,caucasian,Female,1023096.0,45.0,51411.0,9.0,0.0,0.0,26.0,227.0,217.0,0.0
self_employed,Never-married,farm,caucasian,Male,1011202.0,35.0,12255.0,12.0,0.0,0.0,35.0,217.27654431512983,98.0,0.0
government,Married,cleaner,not_caucasian,Male,1009829.0,44.8420094096221,41470.75,9.0,0.0,0.0,40.0,217.27654431512983,359.7081694672864,0.0
private,Never-married,service,caucasian,Male,1048185.0,55.0,25013.5,6.0,0.0,0.0,40.0,217.27654431512983,55.0,0.0
private,Never-married,service,caucasian,Male,1013529.0,27.0,91246.5,10.0,0.0,0.0,38.0,264.0,179.0,0.0
private,Never-married,craft,caucasian,Male,1015507.0,38.0,108909.5,10.0,0.0,1876.0,40.0,380.0,108.0,0.0
government,Never-married,tech,caucasian,Female,1024074.0,21.0,9562.75,10.0,0.0,0.0,20.0,274.0,120.0,0.0
private,Never-married,executive,caucasian,Female,1015817.0,29.0,21393.0,13.0,0.0,0.0,40.0,169.0,258.0,0.0
private,Divorced,craft,caucasian,Female,1036992.0,28.0,72287.0,9.0,0.0,0.0,40.0,425.0,359.7081694672864,0.0
private,Never-married,service,caucasian,Male,1010310.0,27.0,84980.25,10.0,0.0,0.0,38.0,208.0,251.0,0.0
private,Married,cleaner,caucasian,Male,1005794.0,30.0,119336.25,4.0,0.0,2057.0,40.0,290.0,359.7081694672864,0.0
private,Never-married,sales,caucasian,Male,1043074.0,17.0,40189.5,6.0,0.0,0.0,30.0,376.0,15.0,0.0
government,Married,clerical,caucasian,Female,1042636.0,23.0,86098.5,10.0,0.0,0.0,40.0,217.27654431512983,101.0,0.0
private,Divorced,service,not_caucasian,Male,1033472.0,44.8420094096221,80763.5,6.0,447.9206072106262,0.0,40.0,217.27654431512983,200.0,0.0
private,Never-married,cleaner,caucasian,Male,1017854.0,14.0,31066.25,10.0,0.0,0.0,40.0,426.0,359.7081694672864,0.0
private,Married,craft,caucasian,Male,1033562.0,32.0,93173.0,9.0,0.0,0.0,40.0,217.27654431512983,363.0,0.0
self_employed,Widowed,tech,caucasian,Male,1021752.0,60.0,62893.0,9.0,447.9206072106262,0.0,35.0,217.27654431512983,483.0,0.0
self_employed,Divorced,craft,caucasian,Male,1009119.0,33.0,47061.5,13.0,0.0,1590.0,60.0,267.0,73.0,0.0
private,Divorced,tech,caucasian,Female,1037909.0,35.0,27236.5,9.0,0.0,0.0,40.0,454.0,442.0,0.0
self_employed,Widowed,trucker,caucasian,Male,1027816.0,32.0,20540.25,6.0,0.0,0.0,35.0,217.27654431512983,359.7081694672864,0.0
private,Married,professional,caucasian,Male,1014255.0,32.0,49703.25,15.0,0.0,0.0,60.0,357.0,216.0,0.0
private,Never-married,clerical,caucasian,Female,1002582.0,39.0,77236.25,13.0,0.0,46.03422370617696,50.0,217.27654431512983,494.0,0.0
self_employed,Never-married,tech,not_caucasian,Female,1030644.0,23.0,13873.0,11.0,0.0,0.0,30.0,217.27654431512983,17.0,0.0
private,Married,clerical,not_caucasian,Female,1032101.0,22.0,7846.75,13.0,2885.0,0.0,25.0,249.0,406.0,0.0
self_employed,Divorced,tech,not_caucasian,Female,1002201.0,36.0,34373.0,9.0,0.0,0.0,40.0,65.0,388.0,0.0
private,Married,cleaner,caucasian,Male,1009835.0,27.0,54695.25,9.0,447.9206072106262,0.0,50.0,217.27654431512983,483.0,0.0
self_employed,Divorced,service,caucasian,Male,1021749.0,34.0,37149.29735524019,10.0,0.0,46.03422370617696,80.0,214.0,359.7081694672864,0.0
government,Never-married,clerical,caucasian,Female,1039689.0,21.0,74788.25,10.0,0.0,0.0,15.0,212.0,135.0,0.0
private,Never-married,factory,caucasian,Female,1036913.0,33.0,34327.5,9.0,0.0,0.0,40.0,367.0,155.0,0.0
self_employed,Divorced,tech,caucasian,Male,1013788.0,65.0,13973.5,15.0,0.0,0.0,40.0,117.0,232.0,0.0
private,Married,service,caucasian,Male,1006738.0,18.0,53297.75,9.0,0.0,0.0,50.0,217.27654431512983,359.7081694672864,0.0
private,Married,factory,caucasian,Male,1047398.0,30.0,22786.25,9.0,0.0,0.0,40.0,20.0,236.0,0.0
private,Widowed,executive,caucasian,Female,1003439.0,50.0,34224.5,11.0,447.9206072106262,0.0,55.0,79.0,429.0,0.0
private,Never-married,service,caucasian,Male,1033141.0,24.0,27263.25,9.0,0.0,0.0,25.0,456.0,385.0,0.0
self_employed,Divorced,tech,caucasian,Female,1000915.0,31.0,46592.25,5.0,0.0,0.0,40.0,117.0,312.0,0.0
private,Divorced,service,caucasian,Female,1035395.0,73.0,71170.0,9.0,0.0,0.0,20.0,217.27654431512983,313.0,0.0
self_employed,Widowed,service,not_caucasian,Female,1008792.0,52.0,30259.5,9.0,0.0,0.0,43.0,454.0,270.0,0.0
private,Never-married,clerical,caucasian,Male,1042603.0,41.0,37149.29735524019,9.0,0.0,0.0,40.0,490.0,486.0,0.0
private,Never-married,service,caucasian,Female,1040787.0,21.0,28276.5,10.0,0.0,46.03422370617696,30.0,99.0,204.0,0.0
private,Never-married,clerical,caucasian,Male,1014528.0,22.0,53635.5,10.0,0.0,0.0,40.0,345.0,214.0,0.0
private,Married,clerical,caucasian,Female,1021219.0,31.0,11824.0,10.0,0.0,1740.0,20.0,68.0,405.0,0.0
private,Never-married,service,not_caucasian,Female,1020043.0,14.0,92387.25,10.0,0.0,0.0,30.0,369.0,359.7081694672864,0.0
government,Divorced,executive,caucasian,Female,1015870.0,25.0,20121.25,14.0,0.0,0.0,40.0,160.0,123.0,0.0
private,Married,cleaner,caucasian,Male,1038294.0,69.0,50140.0,13.0,0.0,0.0,20.0,91.0,349.0,0.0
private,Married,craft,caucasian,Male,1019422.0,27.0,50944.0,9.0,0.0,0.0,50.0,212.0,62.0,0.0
self_employed,Married,craft,caucasian,Male,1004207.0,43.0,42837.75,12.0,0.0,0.0,20.0,184.0,295.0,0.0
private,Never-married,sales,caucasian,Male,1044239.0,31.0,60340.0,13.0,0.0,0.0,40.0,217.27654431512983,280.0,0.0
private,Divorced,lawenf,caucasian,Female,1012946.0,44.8420094096221,67820.5,7.0,0.0,0.0,20.0,247.0,271.0,0.0
self_employed,Never-married,tech,caucasian,Female,1025733.0,19.0,14332.25,10.0,0.0,0.0,30.0,480.0,222.0,0.0
private,Divorced,factory,caucasian,Male,1024912.0,27.0,17370.25,9.0,0.0,0.0,40.0,310.0,359.7081694672864,0.0
private,Married,cleaner,caucasian,Male,1047136.0,24.0,73272.75,9.0,447.9206072106262,0.0,40.0,467.0,357.0,0.0
government,Married,lawenf,caucasian,Male,1028354.0,32.0,31912.75,9.0,0.0,0.0,40.0,166.0,244.0,0.0
private,Married,factory,caucasian,Female,1031320.0,19.0,22453.25,9.0,0.0,0.0,40.0,420.0,359.7081694672864,0.0
private,Never-married,factory,caucasian,Male,1047248.0,21.0,39245.0,9.0,0.0,0.0,60.0,149.0,234.0,0.0
government,Married,professional,caucasian,Male,1001479.0,57.0,49454.0,9.0,0.0,0.0,24.0,315.0,359.7081694672864,0.0
private,Never-married,sales,caucasian,Female,1009434.0,17.0,21504.75,7.0,0.0,0.0,36.0,465.0,322.0,0.0
private,Married,sales,caucasian,Male,1002682.0,41.0,79817.75,10.0,0.0,0.0,50.0,217.27654431512983,437.0,0.0
self_employed,Married,clerical,not_caucasian,Male,1045439.0,67.0,34298.0,9.0,0.0,0.0,12.0,424.0,145.0,0.0
private,Married,craft,caucasian,Male,1013739.0,14.0,76468.5,9.0,0.0,0.0,60.0,378.0,359.7081694672864,0.0
private,Divorced,service,caucasian,Female,1026560.0,28.0,18923.75,10.0,0.0,0.0,60.0,171.0,249.0,0.0
private,Never-married,clerical,caucasian,Female,1006201.0,23.0,31653.25,13.0,0.0,0.0,40.0,217.27654431512983,15.0,0.0
self_employed,Divorced,service,caucasian,Female,1010874.0,57.0,63316.75,3.0,0.0,0.0,35.0,217.27654431512983,350.0,0.0
private,Married,service,caucasian,Male,1002933.0,33.0,29824.25,9.0,0.0,0.0,40.0,431.0,359.7081694672864,0.0
private,Married,craft,caucasian,Male,1007751.0,31.0,39796.75,10.0,0.0,0.0,25.0,217.27654431512983,280.0,0.0
private,Never-married,craft,caucasian,Female,1015028.0,39.0,33591.75,9.0,0.0,0.0,43.0,475.0,142.0,0.0
private,Married,craft,caucasian,Male,1037230.0,36.0,67073.0,9.0,447.9206072106262,0.0,41.0,267.0,226.0,0.0
private,Never-married,executive,not_caucasian,Male,1010410.0,24.0,68811.0,10.0,0.0,0.0,35.0,217.27654431512983,280.0,0.0
private,Never-married,sales,not_caucasian,Female,1008229.0,22.0,47865.0,6.0,0.0,0.0,40.0,363.0,23.0,0.0
private,Married,executive,caucasian,Male,1030672.0,48.0,43484.5,9.0,0.0,0.0,60.0,217.0,25.0,0.0
private,Divorced,factory,not_caucasian,Male,1011654.0,28.0,48535.0,10.0,0.0,0.0,50.0,435.0,359.7081694672864,0.0
government,Divorced,craft,caucasian,Female,1029216.0,30.0,49058.5,9.0,0.0,0.0,40.0,21.0,359.7081694672864,0.0
private,Never-married,craft,caucasian,Female,1016756.0,46.0,69799.0,13.0,0.0,0.0,40.0,483.0,162.0,0.0
private,Divorced,estate_agent,caucasian,Female,1008377.0,50.0,105210.5,12.0,0.0,0.0,40.0,472.0,359.7081694672864,0.0
